Kurze Frage,Lange Frage,Fachwerk,FW,Campusgrüne,CG,Arbeitsgemeinschaft der Jungsozialistinnen und Jungsozialisten in der SPD,Jusos,Ing+,Ing+,SDS,SDS,Ring Christlich-Demokratischer Studenten,RCDS
,Anwesenheitspflichten in Vorlesungen und Seminaren sollen ausgeweitet werden.,"Hier bitte immer die Begründung reinschreiben. In dieser könnt ihr auch neue Absätze einfügen, indem ihr zwei mal einen Zeilenumbruch macht. Das Geht mit STRG+Enter

So fängt dann ein neuer Absatz an.",1,,,,,,,,,,
,"In der Mensa sollen mehr vegane und vegetarische Gerichte angeboten werden, selbst wenn dafür das Angebot an Fleischgerichten reduziert wird.","In der Spalte danaben bitte eure Wertung eintragen:

1: Zustimmung, Ja
0: Enthaltung, Vielleicht
-1: Ablehnung, Nein",0,,,,,,,,,,
,"Die Begrenzung der Prüfungsversuche soll abgeschafft werden. 

Derzeit sind an der TU Darmstadt maximal 3 Prüfungsversuche pro Fachprüfung  und eine mündliche Ergänzungsprüfung pro Studium möglich.",,-1,,,,,,,,,,
,"Auch nach Bestehen einer Prüfungsleistung soll es möglich sein, das Ergebnis zu verbessern, indem die Prüfung erneut absolviert wird.",,,,,,,,,,,,
,Die Abmeldefrist von Prüfungen soll abgeschafft und ein Nichterscheinen zur Prüfung als Abmeldung gewertet werden.,,,,,,,,,,,,
,"Die autonomen Tutorien des AStA sollen abgeschafft werden. 

<a href=""https://www.asta.tu-darmstadt.de/asta/de/tutorien"" target=""_blank"">Autonomen Tutorien</a> sind ein durch Mittel des Landes Hessen (<a href="""" target=""_blank"">QSL</a>) finanziertes Angebot des AStA",,,,,,,,,,,,
,"Es ist gut, wenn politische Hochschulgruppen einen engen Bezug zu einer landes-/bundespolitischen Partei haben.",,,,,,,,,,,,
,"Die Anreize zur Einhaltung der Regelstudienzeit sollen abgeschafft werden. 

Zurzeit erhalten nur Studierende in Regelstudienzeit Bafög und zudem erhält die Universität mehr Zuschüsse vom Land für Abschlüsse in Regelstudienzeit.",,,,,,,,,,,,
,Geschlechtergerechte Sprache (sog. Gendering) soll Standard an der TU Darmstadt sein. ,,,,,,,,,,,,
,"Internationale Studierende sollen aufgrund der Sprachbariere differenzierte Prüfungsbedingungen bekommen.

So sollen zum Beispiel die Lesezeiten für sie in den Klausuren verlängert werden.",,,,,,,,,,,,
,"Das Call-a-Bike System soll wieder abgeschafft werden. 

Derzeit zahlt jeder Studi 2,38 €/Semester für das deutschlandweite Call-a-Bike System. <a href=""https://www.asta.tu-darmstadt.de/asta/de/angebote/call-a-bike"" target=""_blank"">AStA Info zu Call-a-Bike</a>",,,,,,,,,,,,
