Kurze Frage,Lange Frage,FACHWERK,FW,Campusgrüne,CG,Jusos und Unabhängige,Jusos,Ing+,Ing+,Linke Liste – SDS,SDS
,Anwesenheitspflichten in Vorlesungen und Seminaren sollen ausgeweitet werden.,"Wir lehnen Anwesenheitspflichten und Pflichtübungsabgaben grundsätzlich ab, da diese im Widerspruch zum selbstbestimmten Lernen und Arbeiten stehen. Eine zwangsweise körperliche Anwesenheit ist kein Ersatz für die freiwillige geistige Beschäftigung mit Inhalten/Themen. Zudem erschweren Anwesenheitspflichten das Studium mit Kind oder Nebenjob.",-1,Anwesenheitspflichten sollen universitätsweit abgeschafft werden. Studierende sind in der Lage selbstbestimmt zu lernen. Dabei muss individuellen Bedürfnissen bei der Art des Wissenserwerbs nicht mit Zwang begegnet werden.,-1,"Anwesendheitspflichten schränken das freie Studium ein und sollten deswegen abgeschafft werden. Weiterhin führen Anwesenheitspflichten zur Benachteiligung von Studierenden, die auf Grund eines Nebenjobs oder Familie nicht ihren gesamten Alltag auf die Universität abstimmen können.",-1,Anwesenheitspflichten sollen nicht ausgeweitet werden. Der eigenverantwortliche Charakter des universitären Studiums soll erhalten bleiben.,-1,"Dozierende sollten ihre Lehrveranstaltung spannend gestalten und wichtige Inhalte vermitteln. Wenn dann trotzdem viele Studierende wegbleiben, ist dies auch ihr gutes Recht. Es gibt sehr viele, auch gute, Gründe einer Lehrveranstaltung fernzubleiben. Wer sich den Stoff trotzdem erschließt, sollte dafür nicht bestraft werden. Wer sich den Stoff nicht erschließt wird ohnehin bestraft, da er wohl durch die Prüfung fallen wird. Die wenigen Ausnahmen, die gänzlich ohne Aufwand durch die Prüfungen kommen, sollten für ihre Cleverness auch nicht bestraft werden. :)",-1
,"In der Mensa sollen mehr vegane und vegetarische Gerichte angeboten werden, selbst wenn dafür das Angebot an Fleischgerichten reduziert wird.","Wir wollen, dass immer sowohl vegane als auch vegetarische Gerichte angeboten werden. Allen sollte es möglich sein, sich abwechslungsreich in der Mensa zu ernähren. Dafür sollte das Angebot an vegetarischen und veganen Gerichten erhöht werden. Da wir die derzeitige Massentierhaltung und Überzüchtung kritisch sehen, kann hierfür auch die Anzahl von Fleischgerichten vermindert werden. Eine komplette Abschaffung des Angebots von Fleischgerichten lehnen wir jedoch ab. Darüber hinaus fordern wir auch allgemein eine Verbesserung der Qualität des Mensaessens.",1,"In der Mensa sollen Studierende möglichst leckeres, gesundes und preiswertes Essen erhalten. Fleisch ist eine kostenspielige Ressource, belastet die Umwelt und sollte daher auf dem Teller die Nebenrolle spielen. Das angebotene Fleisch sollte hingegen eine hohe Qualität haben - lieber weniger Fleisch, dafür bio. 

Vegetarische und vegane Gerichte sollen in der Qualität, dem Geschmack und der Quantität den fleischhaltigen Gerichten in keiner Weise nachstehen. ",1,Vegetarisch/vegane Gerichte sollten den gleichen Stellenwert wie Fleischgerichte haben. Aktuell kann davon noch keine Rede sein.,1,"Das Angebot der Mensa soll zuerst eine ausgewogene, frische Ernährung ermöglichen. Ist dies gegeben, können natürlich auch zusätzliche Gerichte angeboten werden. Die Qualität des Essens ist uns hierbei wichtiger als eine ideologische Ausrichtung.",-1,Die Mensa sollte möglichst vielen Studierenden ein gutes und günstiges Essen ermöglichen. Vegetarische und vegane Alternativen sorgen dabei für ein ausgewogenes und gesundes Angebot. Über die Qualität der Mensa im Allgemeinen muss allerdings diskutiert werden.,1
,"Die Begrenzung der Prüfungsversuche soll abgeschafft werden. 

Derzeit sind an der TU Darmstadt maximal 3 Prüfungsversuche pro Fachprüfung  und eine mündliche Ergänzungsprüfung pro Studium möglich.","Zu einem selbstbestimmten Studium zählt für uns auch die Möglichkeit, eine Prüfung beliebig oft zu wiederholen. Dies erleichtert nicht das Bestehen. Daher sind wir für die Abschaffung der bestehenden Regelung.  Zudem wird durch die Begrenzung der Prüfungsversuche den Studierenden vorgeschrieben, ab wann ein Studium für sie nicht mehr erfolgversprechend ist. Diese Entscheidung sollte jedoch bei den Studierenden selbst liegen.",1,"Die Universität soll selbstbestimtmes Lernen ermöglichen. Selbstbestimmt bedeutet unter anderem, dass es jedem frei stehen soll sein Erlerntes beliebig oft in Prüfungen unter Beweis zu stellen. Eine Einschränkung der Prüfungsversuche ist eine unnötige und ungerechtfertigte Einschränkung der Lernenden, da viele Faktoren die Prüfungsvorbereitung beinflussen können, auf die wir als Studierende häufig keinen Einfluss haben - da darf es auch mal nicht so gut laufen.",1,"Die Begrenzung sollte, wie es in Diplomstudiengängen üblich war, aufgehoben werden. Jede/r Studierende hat das Ziel eine Prüfung auch zu bestehen, deshalb muss die Universität an dieser Stelle keine maximale Prüfungsanzahl vorgeben.",1,Eine Abschaffung jeglicher Begrenzung der Prüfungsversuche ist nicht sinnvoll. Die Erweiterung der mündlichen Ergänzungsprüfung auf JEDEN Drittversuch sehen wir jedoch als sehr sinnvoll an.,-1,"Die Begrenzung der Prüfungsversuche dient lediglich dem Aufbau von Leistungsdruck und dem so genannten 'Rausprüfen von Leistungsschwachen Studierenden'. Hier geht es erkennbar nicht um die Qualität von Lehre und Studium, sondern lediglich um die Vorsortierung der Studierenden für den Arbeitsmarkt.",1
,"Auch nach Bestehen einer Prüfungsleistung soll es möglich sein, das Ergebnis zu verbessern, indem die Prüfung erneut absolviert wird.","Diese Frage lässt sich für uns nicht eindeutig beantworten, da wir generell gegen ein benotetes System sind. Wir fordern, dass lediglich ein Bestehen und Nicht-Bestehen der Prüfung möglich ist.
Dem Verbessern der Note durch nochmaliges absolvieren einer Prüfung stehen wir grundsätzlich offen gegenüber, da dieses die Entscheidung jeder*s Einzelnen sein sollte. Jedoch kann hierdurch eine Benachteiligung von Studierenden erfolgen, die auf Grund äußerer Umstände nicht die Möglichkeit haben, beliebig lange zu studieren und Prüfungen zu wiederholen.",0,"Noten sollten an der Universität keine so große Wichtigkeit besitzen und viel mehr den Wissenstand der Lernenden widerspiegeln. Dies ist dann gegeben, wenn auch nach Klausuren Erlerntes zu einer Verbesserung der Note führen kann. Wer mehr bzw. nochmal besser lernen möchte, sollte nicht daran gehindert werdern. An Universitäten, die dies bereits ermöglichen hat sich gezeigt, dass dies nicht zu einer übermäßigen Belastung der Fachbereiche führt. 

Es ist jedoch darauf zu  achten, dass dies nur dann wünschenswert ist, wenn in der Universität  der Druck gute Noten zu haben, allgemein sinkt, da sonst nur weiterer  unnötiger und ungewollter Leistungsdruck entsteht.",0,"Für uns gehört es zur Freiheit der Studierenden, dass sie - wenn sie möchten - eine bestanden Prüfung wiederholen können. ",1,"Ausrutscher passieren und es soll möglich sein, diese in Einzelfällen auszugleichen. Eine erstrebenswerte Lösung wäre die Einführung einer Regelung, welche es Studierenden erlaubt, während ihres Studiums z.B. drei bestandene Prüfungen zu wiederholen.",1,"Dies sollte eine Selbstverständlichkeit sein. Es gibt keinen Grund dafür, warum eine schlechte Note aus dem ersten Semester zählen sollte, obwohl diese zum Ende meines Studiums überhaupt nicht mehr dem aktuellen Kenntnis- und Leistungsstand repräsentiert. Lediglich bei vollständig standardisierten Klausuren, bei denen so die Möglichkeit der Wiederholung der identischen Prüfung gegeben wäre, sollte über Sonderregelungen nachgedacht werden.",1
,Die Abmeldefrist von Prüfungen soll abgeschafft und ein Nichterscheinen zur Prüfung als Abmeldung gewertet werden.,"Es gibt keine gerechtfertigten Gründe die Abmeldefrist beizubehalten. Weder aus organisatorischen noch erzieherischen Aspekten sind solche Maßnahmen nötig.
Wir möchten zudem allen Studierenden die Möglichkeit geben, sich auch kurzfristig gegen die Teilnahme an einer Klausur zu entscheiden. Zur Zeit ist hierfür ein ärztliches Attest oder ein anderer wichtiger Grund erforderlich, jedoch sollte eine Nichtteilnahme auch möglich sein, wenn man sich nicht genug vorbereitet fühlt oder aus nicht vorhersehbaren Gründen verhindert ist.",1,"Es gibt wenige Gründe zu einer Prüfung nicht zu erscheinen, ist es doch so, dass Studierende Prüfungen belegen um diese auch zu bestehen. Doch die wenigen Gründe haben gemeinsam, dass sie oft spontan und unvorhergesehen das Erscheinen zur Prüfung verhindern.

Ein Nichterscheinen zur Prüfung als Abmeldung zu sehen kommt den Studierenden entgegen und ist eine Reduktion der Bürokratie an unserer Universität. Zusätzlich sollte die Anmeldezeitraum verlängert. In dem Glauben, dass Anmeldungen erfolgen um das Erlernte unter Beweis zu stellen, sehen wir eine vorherige Abmeldung als unnötig an.

",1,"Es ist nicht nachvollziehbar, warum das nicht Erscheinen zu einer Prüfung als Fehlversuch gewertet werden muss. Ein solche Regelung würde uns Studierenden viele Arztbesuche ersparen.",1,"Auch wenn dies für Studenten die angenehmste Lösung wäre, sehen wir ein umsetzbares Ziel eher in einer Verkürzung der Abmeldefrist. Eine vollständige Abschaffung ist leider nicht realistisch, da einige Klausuren enormen Vorbereitungsaufwand haben. Wir halten eine Abmeldefrist von 1-2 Tagen für zumutbar.",-1,"Das Nichterscheinen zur Prüfung und das Nichtabgeben von Prüfungsleistungen als nicht bestandenen Prüfungsversuch zu werten, ist reine Schikane und auch nicht durch die Prüfungsverwaltungserfordernisse zu rechtfertigen. Wir fordern, dass alle Prüfungsleistungen in der Form von unendlich wiederholbaren Studienleisten - statt wir zur Zeit überwiegend in Form von Fachprüfungen, die nur zwei mal zu wiederholen sind - zu erbringen sein sollten. Damit wäre nicht nur diesem Problem abgeholfen, sondern auch noch der unnötige Leistungsdruck abgemildert.",1
,"Die autonomen Tutorien des AStA sollen abgeschafft werden. 

<a href=""https://www.asta.tu-darmstadt.de/asta/de/tutorien"" target=""_blank"">Autonomen Tutorien</a> sind ein durch Mittel des Landes Hessen (<a href="""" target=""_blank"">QSL</a>) finanziertes Angebot des AStA","Das Angebot der autonomen Tutorien leistet einen wesentlichen Beitrag zur Vielfalt des eigenen Studiums, da vor allem Themen behandelt werden, die über die üblichen Lehrplänen hinausgehen. Sie sollten daher unbedingt erhalten bleiben.",-1,"Die autonomen Tutorien stellen eine wichtige Ergänzung zum regulären Vorlesungsbetrieb da und ermöglichen interessierten Studierenden eine selbstbestimmte, kritische Auseinandersetzung mit Themen außerhalb des Vorlesungsverzeichnisses. Die Vielfalt der Themen ist von Jahr zu Jahr gestiegen und aus immer mehr Fachbereichen beteiligen sich Studierende. Dies zeigt, dass ein Interesse seitens der Studierenden an diesem Angebot steht. Nicht nur deshalb stehen die QSL Mittel genau für solche ""besonderen"" Angebote zur Verfügung, ohne dass Geld von Grundlagenlehre abgezogen werden müsste. ",-1,"Die Idee, dass Studierende für Studierende ein Tutorium abseits vorgeschriebener Veranstaltungen anbieten und ein Austausch zwischen Studierenden auch außerhalb der Prüfungsordnung stattfindet, ist nur zu begrüßen.",-1,Bildungsangebote außerhalb des Studienplanes sind ein wesentliches Element universitären Lebens und eine ausgezeichnete Möglichkeit zur Horizonterweiterung.,-1,"Die autonomen Tutorien ermöglichen studentisch organisiertes Lernen. Student*innen vermitteln ihre Erfahrungen und ihr erarbeitetes Wissen an andere Student*innen. Ohne Rang- und Statusunterschiede und ohne den Leistungsdruck der Bachelor- und Masterstudiengäng wird hier ein Raum des Austauschs und der Diskussion geschaffen, der im normalen Unialltag sonst keinen Platz hätte. Auch die häufig politische oder gesamtgesellschaftliche Ausrichtung ist etwas, dass im Institutionalisiertem Lehrbetrieb nur selten angestrebt wird. Fachdisziplinäre Grenzen, Expertenwissen und die oftmals unrealistische und überzogene Stoffmenge, die dort vermittelt werden sollen, stehen einer vertiefenden und kontroversen Diskussion der Inhalte entgegen. Wir erhoffen uns von den Autonomen Tutorien daher weiterhin einen alternativen Bildungsentwurf und einen Fortführung des hierarchiefreien gemeinsamen Arbeitens. Der Nebeneffekt beziehungsweise die Voraussetzung, dass die studentischen Tutoren hierfür entlohnt werden, wird von uns explizit begrüßt. Die intensive Auseinandersetzung mit dem Stoff, der Entwurf eines Konzepts für die Vermittlung und Andere und natürlich auch die Durchführung der Veranstaltung sind wertvolle Tätigkeiten und das darf sich auch entsprechend im Lohn darstellen.",-1
,"Es ist gut, wenn politische Hochschulgruppen einen engen Bezug zu einer landes-/bundespolitischen Partei haben.","Einen engen Bezug zu landespolitischen Parteien lehnen wir ab, da wir uns nicht an eine übergeordnete Parteilinie binden wollen. FACHWERK lebt vom Konsens und von der Diskussion seiner Mitglieder ohne sich nach übergeordneten Strukturen und Meinungen zu richten.
Ein Kontakt zu Parteien ist uns bei bestimmten landespolitischen Themen, wie z.B. dem Hessischen Hochschulgesetz, trotzdem möglich.",-1,"Es ist sicherlich falsch, wenn hochschulpolitische Listen unreflektiert Parteiprogramme der etablierten Parteien aus Bund- oder Landesebene an die Universität tragen. Inhaltlich sollten Listen selbständig und reflektiert eine Meinung entwickeln zumal hochschulpolitische Themen meist von den etablierten Parteien abgedeckt werden.

Menschen, denen Ökologie, Frieden und Menschenrechte ein zentrales Anliegen sind, schließen sich weltweit in ""grünen"" Parteien zusammen. Wir als CampusGrüne teilen diese grundsätzlichen Werte der ""grünen"" Bewegung - sind aber institutionell nicht mit Bündnis90/ Die Grünen verbunden. ",0,"Manche politischen Themen können nur auf überregionaler Ebene gelöst werden. Etwa BAföG, das Deutschlandstipendium oder die Exzellenzinitiative. Dafür ist es gut den Verband der Jusos zu haben, durch den wir Einfluss auf die SPD nehmen. Eine Einmischung von der SPD auf unsere Arbeit findet dagegen nicht statt.",0,Wir freuen uns über jeglichen konstruktiven Input der aus der Landes- oder Bundespolitik kommt. Unsere Liste ist jedoch parteipolitisch ungebunden.,0,Die Unterstützung durch eine Partei hat Vor- und Nachteile. Allerdings ist es nicht wichtig einen engen Bezug zu haben. Durch eine unterstützende Partei lassen sich oftmals zusätzliche Kräfte und Mittel mobilisieren. Außerdem erleichtert es die direkte Einflussnahme auf die Politik. Die gegenseitige Unterstützung sollte sich allerdings auf eine kritisch-solidarische Zusammenarbeit beschränken.,-1
,"Die Anreize zur Einhaltung der Regelstudienzeit sollen abgeschafft werden. 

Zurzeit erhalten nur Studierende in Regelstudienzeit Bafög und zudem erhält die Universität mehr Zuschüsse vom Land für Abschlüsse in Regelstudienzeit.","Wir lehnen Druck und Anreize zur Einhaltung der Regelstudienzeit, wie beispielweise den Wegfall des BAföG, ab. Persönliche Entwicklung, Mitarbeit in Fachschaften oder Hochschulgruppen und anderes Engagement bleiben dabei auf der Strecke.Bildung ist für uns keine Ware, die in kürzester Zeit von Studierenden         konsumiert wird. Wir sollten aus unserer Zeit an der TU mehr als nur ""klausurrelevantes Wissen"" mitnehmen.
<a href=“http://www.fachwerkhouse.de/?portfolio=freie-bildung“ target=“_blank“>fachwerkhouse.de/?portfolio=freie-bildung</a>",1,"Die Regelstudienzeit beschreibt die Zeit in der ein Studium in Vollzeit schaffbar sein muss und dient somit als Anhaltspunkt für die Planung von Studierenden und Universitäten. Im Kontext von selbstbestimmtem Leben und Lernen aller Studierenden sollte von Universitäts- und Landesebene darüber hinaus jedoch keinen Druck (z.B. durch finanzielle Vor- oder Nachteile) ausgeübt werden, die Regelstudienzeit einzuhalten.

Die Maßgabe, dass nur Studierende in Regelstudienzeit BAföG beziehen, birgt gleich zwei Probleme. Zum einen schränkt der Druck für Studierende, die BAföG beziehen, sie in der Freiheit ihres Studiums ein und entspricht nicht unserer Anforderung an selbstbestimmtes Leben und Lernen. Neben dem Studium lassen sich so viel sinnstifftenden (und unsinnstifftenden) Dinge anstellen, die das eigene Leben und die Gesellschaft bereichern.

Zum anderen werden durch die Regelung finanziell schwach aufgestellte Studierende benachteiligt. Das BAföG sollte eigentlich dazu da sein, die finanziellen Unterschiede aus dem Elternhaus zu beseitigen, nicht sie weiter zu zementieren. 

",1,"Die Finanzierung von Hochschulen an den Abschlüssen in Regelstudienzeit zu fixieren, widerspricht einem Anspruch an ein kritisches und selbstbestimmtes Studium. Regelstudienzeiten sollten ab sofort Mindeststudienzeiten genannt werden.",1,"Bei vielen Studiengängen unterscheiden sich Regelstundienzeit und Durchschnittsstudienzeit massiv. Um der Realität Genüge zu tun, müssen die Anreize zumindest an die Durchschnittsstudienzeit angepasst, wenn nicht komplett abgeschafft werden.",1,"Menschen schon während des Studiums so einem Leistungsdruck auszusetzen, führt nicht zu einer produktiven Lernumgebung. Studenten, die finanziell auf Unterstützung angewiesen sind, haben dasselbe Recht wie andere, neben dem Studium ein Sozialleben zu haben. Das Studium und die Vergabe von Creditpoints an der 40-Stunden-Woche zu orientieren, ist vollkommener Unsinn. Die Vermittlung des Stoffs wird individuell unterschiedlich viel Zeit in Anspruch nehmen und zu individuell unterschiedlichen Ergebnissen führen. Dies sollte man bei der Gestaltung von Studien und Prüfungsordnungen in erster Linie bedenken. Wir fordern daher eine Entschlackung der Prüfungsordnungen, eine Reduzierung der Leistungskontrollen und mehr Freiheit - und dazu ist auch die freie Einteilung der Zeit zu rechnen - in der Gestaltung des Studiums. Da es sich bei der BAföG-Förderung um knappe öffentliche Mittel handelt, ist es leider unter den aktuellen Verhältnissen nicht möglich, jedem so viel Geld wie man braucht, so lange wie sie oder er es benötigt zur Verfügung zu stellen. Wir fordern daher ein eltern- und einkommensunabhängiges BAföG für insgesamt bis zu zehn Semester, ohne dass dies durch Leistungsnachweise oder Abschlüsse zu regulieren wäre. Die Begrenzung der Fördermittel auf die Regelstudienzeit ist absurd, schließlich gibt es auch kein ""Regelleben"". Die BAföG-Förderung muss sich folglich an die unterschiedlichen Lebensbedingungen der Studierenden anpassen. Studieren und Bildung ist ein Menschenrecht und in einer reichen Gesellschaft wie der unseren sollte es uns das auch ein bisschen Geld wert sein.",1
,Geschlechtergerechte Sprache (sog. Gendering) soll Standard an der TU Darmstadt sein. ,"Sprache ist ein Aspekt mit dem ein Bewusstsein über Geschlechterrollen und deren Benachteiligungen geschaffen werden kann. Wir setzen uns deshalb aktiv für geschlechtergerechte, also auch geschlechterneutrale, Sprache ein. Sie sollte Pflicht für alle offiziellen Veröffentlichungen der Universitäts- und Fachbereichsverwaltung sein. In Forschungs- und Abschlussarbeiten darf ihre Verwendung nicht zu einer schlechteren Bewertung führen. Wir fordern alle auf, sich aktiv für die Schaffung bzw. Stärkung eines Bewusstseins der Universität im Bezug auf geschlechtergerechte Sprache einzusetzen. ",1,"Geschlechtergerechtigkeit fördert Gleichheit und sollte ein wichtiger Grundsatz der Gesellschaft und somit auch einer Universität als öffentliche Bildungsanstalt sein. Durch geschechtergerechte Sprache können sich alle gleichermaßen angesprochen fühlen und Ungleichheit im Sprachgebrauch wird behoben. Die Relevanz des Themas Geschlechtergerechtigkeit rückt durch den Anspruch eines offiziellen Standards an unserer Universität zudem weiter in das Bewusstsein der Gesellschaft.

Zudem hilft Gendering auch andere Themen der Geschlechtergerechtigkeit in den Vordergrund zu rücken, wie beispielswiese die geringe Durchlässigkeit in der Wissenschaft - das bedeutet, dass selbst wenn ein großer Teil Studentinnen sich für ein Fach begeistern kann, dennoch deutlich weniger Doktorantinnen ihren Titel erwerben und noch weniger Professorinnen letztendlich in den Vorlesungsälen und Laboren stehen. ",1,"Ein Sprache, die Frauen nicht genügend beachtet, schafft ein Bewusstsein, das Frauen nicht genügend beachtet, schafft eine Realität, die Frauen nicht genügend beachtet. Deswegen sollte die TU Darmstadt darauf hinwirken, dass geschlechtsneutrale Bezeichnungen wie „Studierende“, „Lehrende“ oder „Teilnehmende“ verwendet werden. Jedoch lehnen wir einen Zwang ab.",0,"Voraussetzung hierfür ist ein klarer, einheitlicher Standard, welcher den Lesefluss nicht stört. Es darf jedoch kein Student dazu verpflichtet werden, bestimmte genderneutrale Sprache verwenden zu müssen.",0,"Dass unsere Gesellschaften über Jahrtausende patriarchal organisiert waren und viele dieser Strukturen noch heute wirksam sind, schlägt sich auch in der männlich dominierten Sprache nieder. Nachdem der Kapitalismus sehr erfolgreich darin ist alle Menschen unabhängig vom Geschlecht auf ihre Rollen als Arbeiter*innen und Konsument*innen zu reduzieren und im bürgerlichen Rechtsstaat rechtliche Gleichheit für alle Staatsbürger institutionalisiert wurde, muss nun die kulturelle Spähre von den überkommenen Diskriminierungen befreit werden. Ein Schritt wie das Gendering, das niemandem weh tut und vielen - zumindest sprachliche - Anerkennung verschafft, sollte daher einen Selbstverständlichkeit sein.",1
,"Internationale Studierende sollen aufgrund der Sprachbariere differenzierte Prüfungsbedingungen bekommen.

So sollen zum Beispiel die Lesezeiten für sie in den Klausuren verlängert werden.","Viele internationale Studierende sind bei umfangreichen Fragestellungen und knapper Klausurzeit deutlich benachteiligt. Wir halten jedoch Zeitdruck bei Klausuren generell für inakzeptabel. Alle sollten die Möglichkeit haben, die Klausur innerhalb des Zeitrahmens zu beenden und genug Zeit zur Verfügung über die Aufgabenstellung nachzudenken und die Aufgaben zu bearbeiten. Diesem Problem ließe sich mit einer Lesezeit vor Klausurbeginn für alle Studierenden entgegenwirken. Zusätzlich sollte es möglich sein, Fragen auf Englisch zu beantworten.
<a href=“http://www.fachwerkhouse.de/?portfolio=internationale-studierende“ target=“_blank“>fachwerkhouse.de/?portfolio=internationale-studierende</a>",1,"Grundsätzlich sollten Barrieren verhindert und Benachteiligungen ausgeglichen werden, um gerechte Lehr- und Lernbedingungen für alle zu schaffen. Dies gilt für Sprachbarrieren internationaler Studierende ebenso wie für Beeinträchtigungen in anderen Kontexten. Nachteilsausgleiche (wie längere Lesezeiten) sind für uns ein Mindestanspruch. Ziel wäre für uns, Barrierefreiheiten zu schaffen und die Nachteile gar nicht erst entstehen zu lassen (z.B. alle Prüfungen auch auf Englischer Sprache anzubieten).",1,"Ein Unding, dass das noch nicht der Fall ist.",1,"Derartige Regelungen sind aufgrund der nötigen Vergleichbarkeit der Prüfungsbedingungen nur schwer umzusetzen. Die Zulassungsvoraussetzungen für deutschsprachige Studiengänge sollen so formuliert sein, dass es zugelassenen internationalen Studierenden möglich ist, das Studium zu absolvieren. Wir fordern stattdessen, dass die Angebote des Sprachenzentrums ausgebaut werden.",-1,"Es sollten alle Studierenden an der TU dieselben Chancen und Möglichkeiten haben. Dazu gehört auch, dass Studierende mit schwächeren Deutschkenntnissen auch die Möglichkeiten bekommen die Prüfungsaufgaben genauso zu verstehen.",1
