Kurze Frage,Lange Frage,FACHWERK,FW,Campusgrüne,CG,Jusos und Unabhängige,Jusos,Ing+,Ing+,Linke Liste – SDS,SDS
,Mandatory attendance in lectures and seminars should be extended further.,In general we disapprove of mandatory attendances in lectures/seminars and mandatory exercises as these disagree with self-determined study and work. A compulsory physical presence cannot be a substitute for voluntarily dealing with contents intellectually. Furthermore mandatory attendances complicate studies while having children or a part-time job.,-1,Compulsory attendance should be abolished (throughout the whole university). Students are able to study self-determind. This also means the opportunity to study as prefered and without constraint. ,-1,"Anwesendheitspflichten schränken das freie Studium ein und sollten deswegen abgeschafft werden. Weiterhin führen Anwesenheitspflichten zur Benachteiligung von Studierenden, die auf Grund eines Nebenjobs oder Familie nicht ihren gesamten Alltag auf die Universität abstimmen können.",-1,"Mendatory attendance should be lessent, if anything. University should enable students to study within their own time and space.",-1,Lecturers should keep their courses interesting and teach important subject matter. Students have the right not to appear nevertheless. There are many good reasons for doing so. Everyone who learns the outside of courses should not be punished for doing so. In reverse everyone who does not learn will most likely fail the exam. And all those who pass without learning should not be punished for being clever. :),-1
,"More vegan and vegetarian dishes should be available in the Mensa, even if this means to reduce the offer of meatdishes.",We want that there will be the offer of vegan as well as vegetarian meals at all times. Everyone should have the opportunity to get a diversified diet at the Mensa. Therefore the offer of vegetarian and vegan meals should be improved. As we perceive current industrial livestock farming and overbreeding critically the number of meals containing meat can be decreased for the purpose of offering more vegetarian and vegan meals. However we refuse the complete abolishment of meals containing meat. In addition we claim a general improvement of the food in the Mensa.,1,"The Mensa (canteen) should provide tasty, inexpensive and healthy food. Meat is an expensive resource that pollutes/stresses/strains the environment and therefore should be the/a underpart on the plate. The offered meat (however) should be of high quality - better less but organic meat. 

Vegetarian and vegan dish/course should be of the same quality, taste and quantity/amount as the meat dish/course. ",1,Vegetarisch/vegane Gerichte sollten den gleichen Stellenwert wie Fleischgerichte haben. Aktuell kann davon noch keine Rede sein.,1,"The meals offered should be wholesome and fresh. If good meals are the norm, additional offers like more vegetarian options are welcome. The quality-food is more important than the ideological standpoint.",-1,The Mensa should offer good and cheap food for as many students as possible. Vegetarian and vegan alternatives help with a balanced and healthy offer. The quality of the food needs to be addressed though.,1
,"The limit of examination attempts should be canceled.

Currently, the number of examination attempts is limited to 3 per subject and one additional extended oral examination for the full studyprogramme.","For us, self-determined studies contain the possibility to repeat examinations as often as one wishes. This possibility does not make you pass easier. That is why we stand for the abolishment of the existing regulation. Furthermore the limited number of  attempts to pass an examination dictates from when on a student's studies will not be successful anymore. But this decision should remain in a student's own responsibility.",1,"The University should enable/foster/encourage/bring... forward self-determind studying (sould make self-determin studying/learning possible). Self-determind also means demonstrating ones knowledge more than once /in more than one/3 exman/s. The Limitation of testings (Prüfungsversuche) is not only unnecessary but unfair. Especially, as studying is affected by many factors that are not under the students' control, it should be possible to take tests more than 3 times. ",1,"Die Begrenzung sollte, wie es in Diplomstudiengängen üblich war, aufgehoben werden. Jede/r Studierende hat das Ziel eine Prüfung auch zu bestehen, deshalb muss die Universität an dieser Stelle keine maximale Prüfungsanzahl vorgeben.",1,The possibilty to retake exams unlimited times is no a suitable solution. We believe however that each subject should offer an addiotional oral exam after 3 failed tries.,-1,The limitation of examination attempts serves only to build more pressure to perform. This is not about quality of teaching and studies but to sort students out for the job market.,1
,"Even after passing an exam, it should be possible to improve the grade by completing the examination one more time.","We cannot answer this question definitely because we are against a graded system in general. We demand that one can either pass or fail an examination.
In general we are open-minded about improving a grade by taking an examination once again because this decision should remain in a student's own responsibility. Though, this could lead to a disadvantage for students who do not have the opportunity to study a while longer and to repeat examinations as a result of other external circumstances.",0,"
Grades are supposed to show the knowledge(level of knowlegde) of the students and shouldn't be of such a great impotance at a/the university. This will be achieved when students can imrpove their grades even after testing/tests. If students want to study more, they should not be prevented and should be able to take a passed exam/test again for a better grade. Universities that already have this policy don't have excessive pressure. 

It is important to state that this is only desirable if the pressure to have good grades drops, because otherwise this policy could cause even more unnecessary pressure to gain good grades. 

",0,"Für uns gehört es zur Freiheit der Studierenden, dass sie - wenn sie möchten - eine bestanden Prüfung wiederholen können. ",1,"We believe that a student should be offered to retake passed exams a limited time per study course, e.g. 3.",1,This should be a matter of course. There is no reason why a bad grade from the first semester should be relevant even though it does not represent the current state of knowledge. Only if there are completly standarized exams there should be a discussion about an exceptional rule.,1
,The deadline for withdrawing from the examination should be cancelled and not coming to an examination should be considered as withdrawn.,"There are no reasonable points to keep the deadline for withdrawing from examinations up. These measures are neither for organisational nor for educative aspects necessary.
Moreover we want that all students have the opportunity to decide about their participation in the examination at short-notice. Currently one needs a medical report for this but it should also be possible to cancel the participation in the examination if one feels poorly-prepared or if one is unavailable without predictable reasons.",1,"
There are few reasons for students to not take an exam, given that students study for a whole semester. But all these reasons have in common, that they emerge unscheduled. 

Therefore, nonappereance should be an option to withdraw from exams. Further, the period to register for exams needs to be extended. As registration for an exam shows the intention to take part in the exam, a seperate withdrawal isn't necessary.

",1,"Es ist nicht nachvollziehbar, warum das nicht Erscheinen zu einer Prüfung als Fehlversuch gewertet werden muss. Ein solche Regelung würde uns Studierenden viele Arztbesuche ersparen.",1,Even though this would be the most convenient solution for students it unfortunately is not a realistic goal to aim for in our university. Instead we think you should be able opt out of your exam 1 or 2 days prior to the exam date.,-1,Grading not coming to an exam as not passed is outright bullying and not covered by the Prüfungsverwaltungserfordnisse. We demand that all Prüfungsleistungen should be handled as Studienleistungen which can be reapted infinitely. This would also solve the unnecessary pressure to perform.,1
,"The Autonomous Tutorials ( Autonome Tutorien ) of AStA should be abandoned.

They are financed through the Ministry of Hessen ( QSL ) , offered through AStA. ",The offer of “Autonomous Tutorials” (Autonome Tutorien) provides an essential contribution to the diversity of a student's studies as it mainly highlights contents/topics which go beyond the topics of the usual curriculum. Therefore the “Autonomous Tutorials” should be kept up.,-1,"
The autonomen Tutorien (autonomous tutorial) are an important supplement/addition to normal lectures that enable interested students to have a critical and self-determind examination of topics beyond the university calender. The variety has grown from year to year/ in the last years which shows the interst of (the) students for the autonome Tutorien. Not only for that reason is QSl money an important instrument to foster projects like that.",-1,"Die Idee, dass Studierende für Studierende ein Tutorium abseits vorgeschriebener Veranstaltungen anbieten und ein Austausch zwischen Studierenden auch außerhalb der Prüfungsordnung stattfindet, ist nur zu begrüßen.",-1,"University is more than qualifing for certain jobs, hence each offer to broaden ones view is welcomed.",-1,"The 'Autonomen Tutorien' enable collegiate organized Learning. Students convey their experiences and their earned knowledge to other students. Without differences in rank and status and without the pressure to perform in Bachelor- and Masterprograms there is a room for exchange and disscussion, which could not be found in everyday life at the university. In addition to that is the often political and societal orientation something you don't find regularly in the institutionalized teaching programme. Disciplinary borders, expert knowledge and the often unrealistic and exorbitant contents of the curriculums that is taught there are preventing deepening and controverse discussions of the contents. We hope that the Autonome Tutorien will still serve as room for alternative education designs and be a continuation of the collective learning without hierarchy. We explicitly appreciate the side effect that the student tutors are being paid. The intensive engagements with the content, the desingn of a concept, imparting knowledge to others and of course the realisation of the seminars are valuable activitiys which should represented in an appropriate payment.",-1
,It is good when political student groups have close connections with political parties at the regional and national level.,"We refuse a strong tie to political parties as we do not want to be obligated to a superior party line. FACHWERK lives on the consensus and the discussion of its members without complying to superior structures and opinions.
Anyways a contact to parties concerning specific topics of regional politics e.g.  “Hessisches Hochschulgesetz” (“Higher Education Act of the State of Hesse"") is still possible.",-1,"
Undoubtedly, it is wrong when political campus groups unreflectedly replicate party programs from state or federal level within the university.

People who share interests in ecology, peace and human rights unite all over the world within ""green"" partys. We share these values of the green movement, but we are not associated with Bündnis 90/Die Grünen institutionally.",0,"Manche politischen Themen können nur auf überregionaler Ebene gelöst werden. Etwa BAföG, das Deutschlandstipendium oder die Exzellenzinitiative. Dafür ist es gut den Verband der Jusos zu haben, durch den wir Einfluss auf die SPD nehmen. Eine Einmischung von der SPD auf unsere Arbeit findet dagegen nicht statt.",0,We value input from political parties. ing+ is firmly independet though.,0,The support from a political party has advantages and disadvantages. However it is not important to have a close relation. With the help of a supporting party it is often easier to mobilize additional manpower and means. Furthermore it facilitates the direct exercise of influence on politics. The mutual support should though remain on a critical-solidary basis.,-1
,"Incentive sassociated with adhering to the regular course duration should  be cancelled.

Currently, only the students in their regular course duration receive Bafög assistance. In addition to it, the university receives more funding from the State for study completions within the regular study duration.","In general we disapprove of pressure and incentives associated with adhering to the regular course duration as for example the termination of BaföG after the standard period of study. With such pressure personal development, the membership in faculty student councils or in campus groups and other voluntary services cannot be pursued anymore. For us, education is not a product which is consumed by students in a very short time. In our time at TU Darmstadt we should encounter more than only “knowledge which is relevant for exams”.
<a href="http://www.fachwerkhouse.de/?portfolio=freie-bildung" target="_blank">fachwerkhouse.de/?portfolio=freie-bildung</a>",1,"
Every course (course of studies/ study program = Studiengang) has a certain number of semesters that are needed to sucessfully complete it. In the context of self-determined studying, there shouldn't be any encouragement  from university or state level (e.g. financial (dis-) advantages) forcing anyone to finish within the given/compulsory/required number of semesters.",1,"Die Finanzierung von Hochschulen an den Abschlüssen in Regelstudienzeit zu fixieren, widerspricht einem Anspruch an ein kritisches und selbstbestimmtes Studium. Regelstudienzeiten sollten ab sofort Mindeststudienzeiten genannt werden.",1,"Studying within ones own time should be enabled by University and the state. The discrepency between the average study time and the ""Regelstudienzeit"" should be erased at least. ",1,"To put people already during their academic studies under a pressure to perform doesn't lead to a productive learning environment. Students, which are denpendend on financial aid, have the same right as others to have a social life beneath their studies. To base the studies and the allignment of creditpoints on the 40h-week is simply ridiculous. Every individual needs a different amount of time to study a subject and to achieve the necessary leve of understanding. This should be taken into account when the regulations for the curriculum and the examination are designed. Because of that we demand a simplification of the examination regulations, a reduction of performance controls and more freedom - and there is also the free allocation of time to be taken into account - in the designing of each ones studies. Because of the fact that the BAföG consist of scarce public means, it is, under the present conditions, unfortunately not possible to give everyone as much money as they need and as long as he or she requires it. Therefore we demand a BAföG independent of income and parents for a total of up to ten semesters, without the regulation of transcript of records or degrees. Die limitation of the subsidies to a regular time for finishing studies ist absurd, there is after all no ""regular life"". The aid given throug BAföG has to be adapted to the different living conditions of the students. Studying and education are a human right and in a rich society like ours it should be worth some money.",1
,Fair language with respect to all genders ( Gendering ) should be standardized at TU Darmstadt.,Language is an aspect which can raise an awareness of gender roles and their disadvantages. This is why we actively stand up for making language gender-equitable and also gender-neutral. This type of language should be obligatory for all official publications by the administration of the university and the faculties. In research papers and final thesis' the usage of this type of language may not lead to a worse evaluation. We ask everyone to actively demand the establishment and strengthening of an awareness of the university concerning gender-equitable language.,1,"
Genderequality promotes equality in general and should be a basic principle in society and for that within University as well, as it is a public Institution. By using Gender sensitive language evryone is included and inequalities will be removed. The discussion of Genderequality focuses the demand of an official announced standart in the academic sector.

Gendering also helps to put other topics of genderequality in (the) front, like the lack of women in higher academic position. ",1,"Ein Sprache, die Frauen nicht genügend beachtet, schafft ein Bewusstsein, das Frauen nicht genügend beachtet, schafft eine Realität, die Frauen nicht genügend beachtet. Deswegen sollte die TU Darmstadt darauf hinwirken, dass geschlechtsneutrale Bezeichnungen wie „Studierende“, „Lehrende“ oder „Teilnehmende“ verwendet werden. Jedoch lehnen wir einen Zwang ab.",0,First of the university has to find a standard for gender-neutral language. And even then no student should be forced to use that specific style of language.,0,"It is a fact that our societys have been patriachal organised since centurys and it is also a fact that many of these structures are visible in the male dominated language. After capitalism has been very succesful in reducing all humanbeings, independent of their gender, to their roles as workers and consuments and the legal equality of every citizen under the civic rule of law, there is now a need for a liberation of the cultural sphere from the discriminations. A first step like Gendering which hurts no one and gives many - at least linguistic - recognition, should therefore be a matter of course.",1
,"International students, because of their language barriers, should get different exam conditions. 

For example, extra reading time for them in the exam hall.","Many international students face disadvantages in examinations with extensive questions and short examination time. In general we think that time pressure in examinations is unacceptable. Everyone should have the opportunity to end an examination within the given time frame, have enough time to think about the questions and to work on the answers. This problem could be countered with a general reading time for all students before an examination starts. Additionally it should be possible for everyone to answer questions in English.
<a href="http://www.fachwerkhouse.de/?page_id=106" target="_blank">fachwerkhouse.de/?page_id=106</a>",1,"Generally, barrier should be prevented and disadvantage should/shall be balanced to create/establish fair/just terms/learning terms/terms of learning/learning atmosphere/learning conditions/conditions for everyone. This includes lamguage barrier  of international students as well as barrier/impairment in different context/situation. To compensate these disadvantage (e.g. extended reading time) is a minimum demand for us. Over all goal for us are prevented barrier without disadvantage (e.g all exmans in English).",1,"Ein Unding, dass das noch nicht der Fall ist.",1,"The level of German necessary to study here is requiered to enrole at TU Darmstadt. The ""Sprachenzentrum"" should offer courses to students who feel they are not at that level or generally want to improve their German.",-1,"Every student at TU Darmstadt should have the same chances and possibilities. That includes, that students with a lower knowledge of the German language should also have the same possibilities to understand the questions in exams.",1
