Kurze Frage,Lange Frage,Fachwerk,FW,Campusgrüne,CG,Arbeitsgemeinschaft der Jungsozialistinnen und Jungsozialisten in der SPD,Jusos,Ing+,Ing+,SDS,SDS,Ring Christlich-Demokratischer Studenten,RCDS
,Anwesenheitspflichten in Vorlesungen und Seminaren sollen ausgeweitet werden.,"Wir finden das nicht so gut, und würden uns das anders vorstellen.

Und ein neuer absatz",,"Wir denken, dass eine gelbe Frucht eine gute Idee ist.
Aber auch andere Farben haben gründe",,Keine Gute Sache zu viel Tamtam,,Keine Gute Sache zu viel Tamtam,,Ja,,Nein,
,"In der Mensa sollen mehr vegane und vegetarische Gerichte angeboten werden, selbst wenn dafür das Angebot an Fleischgerichten reduziert wird.",Runde Früchte sind sehr lecker,,Lang und lecker,,Keine Gute Sache zu viel Tamtam,,Keine Gute Sache zu viel Tamtam,,nein,,vlt,
,"Die Begrenzung der Prüfungsversuche soll abgeschafft werden.

Derzeit sind an der TU Darmstadt maximal 3 Prüfungsversuche pro Fachprüfung  und eine mündliche Ergänzungsprüfung pro Studium möglich.",Schale hat am meisten Vitamine,,Schale popale,,Keine Gute Sache zu viel Tamtam,,Keine Gute Sache zu viel Tamtam,,ja ,,ja ,
,"Auch nach Bestehen einer Prüfungsleistung soll es möglich sein, das Ergebnis zu verbessern, indem die Prüfung erneut absolviert wird.",Mehr Sonne gleich mehr Geschmack,,Ist doch egal wie lange. Hauptsache lecker,,Keine Gute Sache zu viel Tamtam,,Wir finden das Gut,,ja,,Nein,
,Die Abmeldefrist von Prüfungen soll abgeschafft und ein Nichterscheinen zur Prüfung als Abmeldung gewertet werden.,"Zucker, hmmm Asdsa dasd asd sasa das
 sadsad d sad sad

a sdsad asd 

a sdsadasd sad sadsa",,Süß lecker,,Keine Gute Sache zu viel Tamtam,,Wir finden das Gut,,vlt,,ja ,
,"Die autonomen Tutorien des AStA sollen abgeschafft werden.

<a href=""https://www.asta.tu-darmstadt.de/asta/de/tutorien"" target=""_blank"">Autonomen Tutorien</a> sind ein durch Mittel des Landes Hessen (<a href="""" target=""_blank"">QSL</a>) finanziertes Angebot des AstA",,,,,,,,,,,,
,"Es ist gut, wenn politische Hochschulgruppen einen engen Bezug zu einer landes-/bundespolitischen Partei haben.",,,,,,,,,,,,
,"Die Anreize zur Einhaltung der Regelstudienzeit sollen abgeschafft werden.

Zurzeit erhalten nur Studierende in Regelstudienzeit Bafög und zudem erhält die Universität mehr Zuschüsse vom Land für Abschlüsse in Regelstudienzeit.",,,,,,,,,,,,
,"Geschlechtergerechte Sprache (sog. Gendering) soll Standard an der TU Darmstadt sein.

So sollen z.B. alle Abschlussarbeiten, Papiere und Veröffentlichungen der TU Darmstadt geschlechtergerechte Sprache verwenden.",,,,,,,,,,,,
,"Das Call-a-Bike System soll wieder abgeschafft werden.

Derzeit zahlt jeder Studi 2,38 €/Semester für das deutschlandweite Call-a-Bike System. <a href=""https://www.asta.tu-darmstadt.de/asta/de/angebote/call-a-bike"" target=""_blank"">AStA Info zu Call-a-Bike</a>",,,,,,,,,,,,
,"Das Solidaritätsprinzip bei der Finanzierung der <a href=""https://www.asta.tu-darmstadt.de/asta/de/angebote"" target=""_blank"">Angebote</a> der Studierendenschaft soll aufgehoben werden.

Solidaritätsprinzip: Alle Studierende zahlen pro Semester den gleichen Beitrag, auch wenn die Stärke der Nutzung zwischen Studierenden variiert. Dadurch wird es ermöglicht, günstigere Konditionen mit den Anbietern auszuhandeln.",,,,,,,,,,,,
,"Es soll ein Kulturticket eingeführt werden, für welches eine Erhöhung der Semestergebühren um wenige Euro angemessen wäre.

Ein Kulturticket soll es Studierenden erlauben, Museen, Theater und Ausstellungen im Kreis Darmstadt-Dieburg ohne zusätzliche Kosten oder mit Ermäßigung zu besuchen.",,,,,,,,,,,,
,"Gewerbliche Referate der Studierendenschaft, die über einen längeren Zeitraum defizitär arbeiten, sollen unabhängig ihres sonstigen Nutzens abgeschafft werden.

Derzeitige gewerbliche Referate:603qm, Fahradwerkstatt, Papierladen, Schlosskeller, Schlossgarten",,,,,,,,,,,,
,"Die TU Darmstadt soll ein optionales Orientierungsstudium anbieten.

In den ersten ein bis zwei Semestern soll das Belegen von Modulen verschiedener Fachdisziplinen zur Orientierung dienen (Prinzip: <a href=""http://de.wikipedia.org/wiki/Studium_generale"" target=""_blank"">Studium Generale</a>).",,,,,,,,,,,,
,Das Studierendenwerk Darmstadt soll in Wohnheimen  langfristig ausschließlich Zimmer in Wohngemeinschaften und keine Einzelzimmer anbieten.,,,,,,,,,,,,
,Die TU Darmstadt soll mehr Kopierer für Studierende zur Verfügung stellen.,,,,,,,,,,,,
,Alle Studienplätze mit Zugangsbeschränkung sollen deutschlandweit zentral vergeben werden.,,,,,,,,,,,,
,"Die Zivilklausel an der TU Darmstadt soll wieder abgeschafft werden.

Mir der Zivilklausel verpflichtet sich die TU Darmstadt selbst, keine militärische Forschung und Lehre zu betreiben.",,,,,,,,,,,,
,Die Universität soll finanzielle Mittel in die Einrichtung von Ruhe- und Entspannungsräumen für Studierende investieren.,,,,,,,,,,,,
,Die TU Darmstadt soll zusätzliche Räume für Hochschulgruppen kostenfrei zur Verfügung stellen.,,,,,,,,,,,,
,"Die Aufwandsentschädigungen für ehrenamtliche Referate im AStA soll abgeschafft werden.

Gewählte und eingestelle Studierende des AStA erhalten für ihr Engagement derzeit eine monatliche Aufwandsentschädigung.",,,,,,,,,,,,
,Lehramts- und Pädigogikstudiengänge sollen unter der Aufwendung zusätzlicher finanzieller Mittel erhalten bleiben.,,,,,,,,,,,,
,"Grundsätzlich sollen alle Materialen aus Lehre und Forschung der TU Darmstadt frei verfügbar sein.

Frei bedeuted in diesem Zusammenhang, dass allen Menschen Zugang gewährt und die Nutzung nicht eingeschränkt wird.",,,,,,,,,,,,
